round,rel_type,source,target,expected,confidence,generated_by
1,BELONGS_TO,QC-VC-A1,cordless_vacuum,TRUE,1.0,rule
1,BELONGS_TO,QC-HM-3L,humidifier,TRUE,1.0,rule
1,BELONGS_TO,X-P2-BLACK,digital_power,TRUE,1.0,rule
1,BELONGS_TO,QC-FN-D1,air_circulation_fan,TRUE,1.0,rule
1,BELONGS_TO,QC-AF5-GREEN,air_fryer,TRUE,1.0,rule
1,BELONGS_TO,X-M1-WHITE,digital_audio,TRUE,1.0,rule
1,BELONGS_TO,Y-D01-L,apparel,TRUE,1.0,rule
1,BELONGS_TO,Y-D01-S,apparel,TRUE,1.0,rule
1,BELONGS_TO,QC-KT-17,electric_kettle,TRUE,1.0,rule
1,BELONGS_TO,Y-D01-M,apparel,TRUE,1.0,rule
1,HAS_ATTR,Y-D01-L,Y-D01-L|material,TRUE,1.0,rule
1,HAS_ATTR,QC-SPU-KT17,QC-SPU-KT17|warranty_months,TRUE,1.0,rule
1,HAS_ATTR,QC-SPU-HM3,QC-SPU-HM3|brand,TRUE,1.0,rule
1,HAS_ATTR,QC-AF5-WHITE,QC-AF5-WHITE|color,TRUE,1.0,rule
1,HAS_ATTR,QC-SPU-VC1,QC-SPU-VC1|warranty_months,TRUE,1.0,rule
1,HAS_ATTR,QC-SPU-HM3,QC-SPU-HM3|model,TRUE,1.0,rule
1,HAS_ATTR,Y-SPU-D01,Y-SPU-D01|model,TRUE,1.0,rule
1,HAS_ATTR,Y-SPU-D01,Y-SPU-D01|brand,TRUE,1.0,rule
1,HAS_ATTR,X-SPU-M1,X-SPU-M1|brand,TRUE,1.0,rule
1,HAS_ATTR,Y-D01-M,Y-D01-M|size,TRUE,1.0,rule
1,APPLIES_TO,RETURN-38e401d2,electric_kettle,TRUE,1.0,rule
1,APPLIES_TO,RETURN-38e401d2,digital_power,TRUE,1.0,rule
1,APPLIES_TO,LOGISTICS-70a98f4b,air_fryer,TRUE,1.0,rule
1,APPLIES_TO,PRICE-cf259e1c,air_fryer,TRUE,1.0,rule
1,APPLIES_TO,PRICE-cf259e1c,home_appliance,TRUE,1.0,rule
1,APPLIES_TO,RETURN-38e401d2,home_appliance,TRUE,1.0,rule
1,APPLIES_TO,WARR-b17b433a,digital,TRUE,1.0,rule
1,APPLIES_TO,LOGISTICS-70a98f4b,electric_kettle,TRUE,1.0,rule
1,APPLIES_TO,RETURN-38e401d2,apparel,TRUE,1.0,rule
1,APPLIES_TO,WARR-1a256956,home_appliance,TRUE,1.0,rule
1,APPLIES_TO,RETURN-38e401d2,cordless_vacuum,TRUE,1.0,rule
1,APPLIES_TO,LOGISTICS-70a98f4b,apparel,TRUE,1.0,rule
1,APPLIES_TO,LOGISTICS-70a98f4b,digital_audio,TRUE,1.0,rule
1,APPLIES_TO,PRICE-cf259e1c,apparel,TRUE,1.0,rule
1,REFERS_TO,FAQ-SCRIPT-047,SCRIPT-047,TRUE,1.0,rule
1,REFERS_TO,FAQ-SCRIPT-034,SCRIPT-034,TRUE,1.0,rule
1,REFERS_TO,FAQ-SCRIPT-040,SCRIPT-040,TRUE,1.0,rule
1,REFERS_TO,FAQ-SCRIPT-039,SCRIPT-039,TRUE,1.0,rule
1,REFERS_TO,FAQ-SCRIPT-031,SCRIPT-031,TRUE,1.0,rule
1,REFERS_TO,FAQ-SCRIPT-010,WARR-1a256956,TRUE,1.0,rule
1,REFERS_TO,FAQ-SCRIPT-033,SCRIPT-033,TRUE,1.0,rule
1,REFERS_TO,FAQ-SCRIPT-042,SCRIPT-042,TRUE,1.0,rule
1,REFERS_TO,FAQ-SCRIPT-036,SCRIPT-036,TRUE,1.0,rule
1,REFERS_TO,FAQ-SCRIPT-046,SCRIPT-046,TRUE,1.0,rule
1,REFERS_TO,FAQ-SCRIPT-004,SCRIPT-004,TRUE,1.0,rule
1,REFERS_TO,FAQ-MANUAL-51a5,Y-D01-M,TRUE,0.9,rule+human
1,REFERS_TO,FAQ-SCRIPT-035,SCRIPT-035,TRUE,1.0,rule
1,REFERS_TO,FAQ-MANUAL-8fbb,RETURN-38e401d2,TRUE,0.9,rule+human
1,RELATED_TO,SCRIPT-013,FAQ-SCRIPT-013,TRUE,1.0,rule
1,RELATED_TO,SCRIPT-005,FAQ-SCRIPT-005,TRUE,1.0,rule
1,RELATED_TO,SCRIPT-017,FAQ-SCRIPT-017,TRUE,1.0,rule
1,RELATED_TO,SCRIPT-051,FAQ-SCRIPT-051,TRUE,1.0,rule
1,RELATED_TO,SCRIPT-049,FAQ-SCRIPT-049,TRUE,1.0,rule
1,RELATED_TO,SCRIPT-009,FAQ-SCRIPT-009,TRUE,1.0,rule
1,RELATED_TO,SCRIPT-032,FAQ-SCRIPT-032,TRUE,1.0,rule
1,RELATED_TO,SCRIPT-006,FAQ-SCRIPT-006,TRUE,1.0,rule
1,RELATED_TO,SCRIPT-026,FAQ-SCRIPT-026,TRUE,1.0,rule
1,RELATED_TO,SCRIPT-038,FAQ-SCRIPT-038,TRUE,1.0,rule
1,RELATED_TO,SCRIPT-025,FAQ-SCRIPT-025,TRUE,1.0,rule
1,RELATED_TO,SCRIPT-028,FAQ-SCRIPT-028,TRUE,1.0,rule
