sku_id,item_id,title,color,status,sale_price,category,source,updated_at
QC-AF5-WHITE,QC-SPU-AF5,晴川空气炸锅 5L 云白款,云白,active,499.00,air_fryer,fixture,2026-08-11
QC-AF5-GREEN,QC-SPU-AF5,晴川空气炸锅 5L 松绿色,松绿,active,529.00,air_fryer,fixture,2026-08-11
QC-VC-A1,QC-SPU-VC1,晴川无线吸尘器 A1,,active,899.00,cordless_vacuum,fixture,2026-08-11
QC-HM-3L,QC-SPU-HM3,晴川静音加湿器 3L,,active,239.00,humidifier,fixture,2026-08-11
QC-KT-17,QC-SPU-KT17,晴川恒温电热水壶 1.7L,,active,159.00,electric_kettle,fixture,2026-08-11
QC-FN-D1,QC-SPU-FN1,晴川循环净化风扇 D1,,active,699.00,air_circulation_fan,fixture,2026-08-11
X-M1-WHITE,X-SPU-M1,星脉蓝牙耳机 X-M1 云白色,云白,active,299.00,digital_audio,manual,2026-08-11
X-M1-BLACK,X-SPU-M1,星脉蓝牙耳机 X-M1 曜石黑,曜石黑,active,299.00,digital_audio,manual,2026-08-11
X-P2-BLACK,X-SPU-P2,星脉充电宝 X-P2 10000mAh 黑色,黑色,active,129.00,digital_power,manual,2026-08-11
Y-D01-S,Y-SPU-D01,云织羽绒服 Y-D01 黑色 S 码,黑色,active,599.00,apparel,manual,2026-08-11
Y-D01-M,Y-SPU-D01,云织羽绒服 Y-D01 黑色 M 码,黑色,active,599.00,apparel,manual,2026-08-11
Y-D01-L,Y-SPU-D01,云织羽绒服 Y-D01 黑色 L 码,黑色,active,599.00,apparel,manual,2026-08-11
