source,target,rel_type,updated_at,confidence,generated_by
QC-AF5-WHITE,air_fryer,BELONGS_TO,2026-08-03,1.0,rule
QC-AF5-GREEN,air_fryer,BELONGS_TO,2026-08-03,1.0,rule
QC-VC-A1,cordless_vacuum,BELONGS_TO,2026-08-03,1.0,rule
QC-HM-3L,humidifier,BELONGS_TO,2026-08-03,1.0,rule
QC-KT-17,electric_kettle,BELONGS_TO,2026-08-03,1.0,rule
QC-FN-D1,air_circulation_fan,BELONGS_TO,2026-08-03,1.0,rule
X-M1-WHITE,digital_audio,BELONGS_TO,2026-08-03,1.0,rule
X-M1-BLACK,digital_audio,BELONGS_TO,2026-08-03,1.0,rule
X-P2-BLACK,digital_power,BELONGS_TO,2026-08-03,1.0,rule
Y-D01-S,apparel,BELONGS_TO,2026-08-03,1.0,rule
Y-D01-M,apparel,BELONGS_TO,2026-08-03,1.0,rule
Y-D01-L,apparel,BELONGS_TO,2026-08-03,1.0,rule
