source,target,rel_type,updated_at,confidence,generated_by
QC-AF5-WHITE,air_fryer,BELONGS_TO,2026-08-11,1.0,rule
QC-AF5-GREEN,air_fryer,BELONGS_TO,2026-08-11,1.0,rule
QC-VC-A1,cordless_vacuum,BELONGS_TO,2026-08-11,1.0,rule
QC-HM-3L,humidifier,BELONGS_TO,2026-08-11,1.0,rule
QC-KT-17,electric_kettle,BELONGS_TO,2026-08-11,1.0,rule
QC-FN-D1,air_circulation_fan,BELONGS_TO,2026-08-11,1.0,rule
X-M1-WHITE,digital_audio,BELONGS_TO,2026-08-11,1.0,rule
X-M1-BLACK,digital_audio,BELONGS_TO,2026-08-11,1.0,rule
X-P2-BLACK,digital_power,BELONGS_TO,2026-08-11,1.0,rule
Y-D01-S,apparel,BELONGS_TO,2026-08-11,1.0,rule
Y-D01-M,apparel,BELONGS_TO,2026-08-11,1.0,rule
Y-D01-L,apparel,BELONGS_TO,2026-08-11,1.0,rule
air_fryer,home_appliance,BELONGS_TO,2026-08-11,1.0,rule
cordless_vacuum,home_appliance,BELONGS_TO,2026-08-11,1.0,rule
humidifier,home_appliance,BELONGS_TO,2026-08-11,1.0,rule
electric_kettle,home_appliance,BELONGS_TO,2026-08-11,1.0,rule
air_circulation_fan,home_appliance,BELONGS_TO,2026-08-11,1.0,rule
digital_audio,digital,BELONGS_TO,2026-08-11,1.0,rule
digital_power,digital,BELONGS_TO,2026-08-11,1.0,rule
